product_id,product_name,category_id,supplier_id,price,stock_quantity,is_returnable,rating
1,Distributed actuating application,6,70,47679.64,472,True,1.0
2,Synergistic impactful open system,11,63,1071.89,475,True,4.94
3,Open-architected mission-critical Graphic Interface,10,31,2990.47,449,True,1.32
4,Realigned fresh-thinking flexibility,16,9,48901.43,272,True,1.51
5,Assimilated mobile synergy,16,71,8339.84,270,False,2.69
6,Self-enabling clear-thinking adapter,7,70,37787.73,353,True,2.25
7,Virtual bi-directional database,12,57,44990.74,231,True,1.9
8,Re-engineered directional hardware,11,3,29456.61,117,True,1.03
9,Extended bifurcated monitoring,2,30,3463.28,16,False,1.28
10,Universal value-added interface,8,36,33481.99,109,True,3.89
11,Switchable 4thgeneration portal,19,74,23686.28,401,True,2.63
12,Reactive stable installation,4,13,32983.24,181,True,2.87
13,Expanded value-added support,2,87,32707.43,330,True,2.61
14,Reactive zero-defect paradigm,11,14,12507.95,97,True,1.56
15,Versatile foreground functionalities,6,36,23185.14,447,False,2.77
16,Face-to-face stable portal,18,13,2624.36,276,False,4.88
17,Distributed logistical project,8,22,20380.06,246,True,2.6
18,Future-proofed real-time initiative,2,22,19010.76,199,True,4.14
19,Persevering demand-driven approach,15,37,21208.07,490,True,4.13
20,Public-key bi-directional synergy,16,20,9575.9,111,False,3.32
21,Ameliorated user-facing protocol,18,8,37423.98,29,True,2.91
22,Cross-group heuristic analyzer,17,21,2938.29,260,True,1.74
23,Realigned attitude-oriented infrastructure,20,9,33793.11,120,True,4.77
24,Fully-configurable mission-critical neural-net,19,32,28988.06,20,True,2.68
25,Realigned asymmetric hub,19,73,26186.86,478,True,3.68
26,Team-oriented intangible leverage,11,31,13354.16,67,True,2.2
27,Implemented multi-state artificial intelligence,11,97,46793.14,4,True,4.99
28,Public-key eco-centric circuit,4,10,26927.96,259,True,4.73
29,Programmable explicit intranet,3,32,18539.4,80,True,3.17
30,Self-enabling system-worthy forecast,10,79,49194.28,413,True,1.03
31,Fundamental tangible superstructure,18,39,46594.63,53,False,1.54
32,De-engineered neutral leverage,4,14,37146.59,79,True,3.42
33,Enterprise-wide dynamic infrastructure,11,27,34406.11,436,True,2.95
34,Persistent 24hour open architecture,2,12,31750.79,424,True,1.01
35,Automated regional synergy,5,82,48991.92,82,True,3.21
36,Managed zero tolerance array,14,72,582.52,38,False,3.76
37,Total secondary frame,5,70,1897.8,189,True,1.59
38,Triple-buffered contextually-based approach,5,6,15482.09,460,False,4.89
39,Secured national support,2,46,10582.82,127,True,2.41
40,Focused local info-mediaries,18,53,48694.47,383,True,4.72
41,Customizable directional info-mediaries,6,23,44082.67,12,True,4.7
42,Cross-group national info-mediaries,14,86,43216.8,415,True,1.64
43,Balanced demand-driven complexity,4,49,43621.12,439,True,1.8
44,Synergistic global forecast,15,45,15329.02,407,False,1.89
45,Profit-focused motivating function,7,52,16480.27,442,True,4.09
46,Multi-channeled zero-defect groupware,12,83,25519.34,347,False,3.14
47,Vision-oriented tertiary matrix,1,15,43864.22,133,True,4.85
48,Versatile zero-defect neural-net,9,5,5509.29,222,True,4.15
49,Open-architected upward-trending portal,14,78,49213.37,59,True,3.31
50,Innovative well-modulated application,9,6,35468.39,0,True,4.23
51,Right-sized contextually-based knowledgebase,7,47,21621.74,485,True,2.32
52,Realigned actuating orchestration,11,85,42415.96,368,False,3.03
53,Extended user-facing secured line,14,42,20179.78,151,True,1.77
54,Grass-roots stable moratorium,13,87,37431.91,89,True,2.2
55,Face-to-face actuating neural-net,18,1,15263.36,107,True,3.32
56,Robust non-volatile interface,11,60,22145.12,345,True,2.89
57,Vision-oriented even-keeled leverage,6,85,4331.3,263,True,3.48
58,Streamlined human-resource time-frame,3,97,11819.94,158,True,1.8
59,Cross-group demand-driven contingency,1,6,12317.64,243,True,4.07
60,Balanced interactive functionalities,15,54,44318.23,294,True,3.79
61,Managed needs-based infrastructure,16,52,12274.82,335,True,4.57
62,Profit-focused background secured line,4,100,21314.8,90,False,3.78
63,Advanced discrete forecast,15,7,27914.55,469,False,2.83
64,Organized systemic throughput,15,86,26603.48,286,True,4.8
65,Team-oriented local matrix,15,79,40768.82,456,True,4.32
66,Multi-channeled tertiary forecast,18,58,44870.68,380,False,2.8
67,Progressive composite interface,8,82,13937.84,398,True,3.51
68,Upgradable responsive hierarchy,9,57,3966.42,146,True,2.34
69,Cross-group motivating algorithm,18,11,7004.87,118,True,1.61
70,Open-source contextually-based strategy,7,9,20801.91,169,True,2.66
71,User-centric secondary methodology,7,54,19534.89,394,True,3.78
72,Focused motivating throughput,19,49,23901.29,482,True,4.01
73,Persistent heuristic encryption,14,69,37401.03,279,True,4.59
74,Cross-group maximized hub,16,29,13719.47,248,True,2.34
75,Secured optimizing definition,13,93,8335.73,239,False,4.92
76,Enhanced cohesive encryption,18,4,45355.75,303,True,1.11
77,Future-proofed user-facing archive,14,18,43355.88,93,True,2.52
78,Organic grid-enabled extranet,7,59,16409.61,389,False,2.11
79,Operative coherent capacity,14,33,41762.05,240,True,3.16
80,Reactive analyzing array,12,29,32542.19,399,False,1.16
81,Extended client-server project,1,32,10048.1,10,True,1.95
82,Customer-focused discrete collaboration,16,86,5808.03,485,True,3.8
83,Quality-focused fresh-thinking collaboration,12,22,30334.05,493,True,1.46
84,Up-sized high-level extranet,6,40,5494.13,13,False,3.3
85,Managed human-resource budgetary management,13,51,47079.38,101,True,3.76
86,Secured 6thgeneration firmware,8,14,34889.93,154,False,3.4
87,Triple-buffered disintermediate utilization,4,73,39153.5,177,True,3.65
88,Persevering fault-tolerant monitoring,3,65,32412.41,6,False,4.29
89,Open-architected client-driven time-frame,4,56,48043.3,325,False,2.84
90,Profit-focused actuating migration,5,56,8889.23,267,False,2.08
91,Synchronized needs-based middleware,18,100,24226.53,223,False,3.37
92,Synergistic executive benchmark,11,32,41553.48,44,True,2.8
93,Multi-layered eco-centric infrastructure,15,73,30555.55,194,True,2.98
94,Intuitive reciprocal pricing structure,11,24,24428.74,181,True,2.36
95,Down-sized incremental knowledgebase,20,90,44017.36,284,True,4.79
96,Optional asynchronous paradigm,3,31,36031.73,250,True,1.96
97,Customizable high-level structure,16,83,35620.94,229,True,1.37
98,Decentralized systematic infrastructure,8,52,34620.18,156,True,2.48
99,Future-proofed grid-enabled customer loyalty,18,68,17253.49,381,True,2.41
100,Digitized analyzing utilization,15,35,15400.49,118,True,1.77
101,Fundamental actuating emulation,4,96,26839.61,390,True,1.77
102,Expanded explicit analyzer,16,36,36256.79,500,True,3.39
103,Focused mission-critical installation,4,25,14882.7,184,True,1.06
104,Vision-oriented dynamic middleware,18,17,13788.14,498,True,2.17
105,Synergistic motivating synergy,5,82,43436.21,251,True,1.05
106,Expanded fresh-thinking initiative,10,61,23987.84,174,True,1.21
107,Total stable strategy,16,15,41123.57,205,True,3.31
108,Decentralized clear-thinking ability,2,20,7544.96,288,False,1.34
109,Extended encompassing artificial intelligence,8,16,27947.84,213,True,4.16
110,Realigned radical policy,8,100,26176.37,230,False,2.19
111,Re-contextualized radical installation,19,55,15338.47,317,True,4.84
112,Phased next generation hub,4,98,10468.62,108,True,1.32
113,De-engineered fresh-thinking workforce,8,23,27644.41,80,True,2.8
114,Proactive content-based secured line,20,61,14633.84,118,True,2.13
115,Front-line modular website,15,10,34400.51,473,True,4.16
116,Realigned maximized leverage,19,85,40214.89,101,True,3.18
117,Operative tangible access,5,35,41348.89,36,True,4.17
118,Horizontal grid-enabled extranet,20,96,41229.59,471,True,1.5
119,Focused content-based moratorium,10,90,20185.18,139,True,2.98
120,Team-oriented tertiary Graphical User Interface,3,77,2089.05,221,True,3.41
121,Programmable 6thgeneration core,1,12,11523.33,345,False,3.3
122,Quality-focused non-volatile product,1,98,33646.85,137,True,4.05
123,Robust zero-defect encoding,6,61,25996.3,226,False,1.73
124,Switchable leadingedge flexibility,19,56,31775.76,251,False,2.88
125,Multi-layered zero-defect project,14,43,16120.81,53,False,2.32
126,Fundamental next generation moderator,16,37,33162.92,205,False,3.2
127,Stand-alone homogeneous hub,15,12,15794.41,165,True,4.09
128,Devolved human-resource extranet,17,1,32917.25,277,True,1.22
129,Programmable background hub,17,47,31169.43,255,True,4.04
130,Horizontal dynamic circuit,7,35,27506.06,474,True,4.52
131,Automated logistical throughput,16,16,1540.59,322,True,1.96
132,Balanced grid-enabled service-desk,6,40,27586.87,282,True,1.9
133,Adaptive background open system,4,60,47358.33,331,False,2.99
134,Integrated user-facing system engine,10,66,35300.04,212,False,4.92
135,Adaptive object-oriented policy,8,59,27608.13,196,True,3.4
136,Public-key encompassing superstructure,5,9,13884.75,404,False,2.36
137,Profit-focused client-server standardization,17,35,41045.42,144,True,4.35
138,Pre-emptive mission-critical model,19,85,24533.05,76,True,2.94
139,Cross-platform modular methodology,11,71,38167.35,193,True,2.29
140,Re-engineered dynamic algorithm,7,90,12016.4,196,True,4.1
141,Inverse 5thgeneration Graphical User Interface,2,41,37260.79,361,False,2.52
142,Vision-oriented background database,5,64,48244.74,64,True,3.36
143,Automated fault-tolerant customer loyalty,4,57,5075.61,466,True,3.89
144,Fully-configurable contextually-based Graphical User Interface,14,84,48500.84,38,True,4.88
145,Centralized grid-enabled projection,11,80,34665.96,332,True,2.31
146,Compatible systemic interface,18,49,47711.57,320,True,4.04
147,Proactive optimizing capacity,18,5,30911.23,120,True,4.68
148,Reduced context-sensitive project,8,96,4609.93,500,True,3.53
149,Future-proofed clear-thinking leverage,4,57,8401.6,153,False,1.18
150,Customer-focused homogeneous project,2,38,17987.32,220,True,3.12
151,Configurable 3rdgeneration neural-net,19,88,39646.72,87,True,3.44
152,Programmable regional service-desk,13,80,34188.42,254,False,1.57
153,Mandatory web-enabled circuit,15,82,12773.47,130,True,4.6
154,Business-focused grid-enabled time-frame,15,37,33912.78,80,True,4.78
155,Profound impactful groupware,19,39,31983.04,217,True,2.83
156,Universal next generation process improvement,10,26,49968.74,436,True,1.95
157,Self-enabling human-resource infrastructure,19,46,28783.12,358,True,4.91
158,Organic coherent monitoring,13,36,504.09,442,True,3.98
159,Decentralized homogeneous emulation,2,78,37284.09,426,False,2.14
160,Streamlined tertiary moderator,8,78,40116.4,112,True,3.48
161,Exclusive hybrid pricing structure,5,81,4948.48,321,True,2.24
162,Switchable interactive Graphic Interface,15,5,29020.73,374,True,4.64
163,Managed full-range product,11,96,20833.6,102,True,3.16
164,Streamlined multimedia matrix,12,68,25139.56,139,False,2.03
165,Team-oriented 24hour installation,16,38,37353.31,173,False,2.87
166,Organic bottom-line neural-net,3,19,37732.16,115,False,3.9
167,Persistent national paradigm,13,72,18352.17,404,True,2.06
