payment_id,order_id,payment_date,payment_mode,payment_status,amount
1,1,2026-05-20 01:14:19.978530,COD,Success,37431.91
2,2,2026-03-17 18:05:33.755311,Net Banking,Success,86247.46
3,3,2025-10-17 00:07:17.374901,Credit Card,Success,89387.25
4,4,2026-05-09 07:16:48.628759,Debit Card,Success,98675.76000000001
5,5,2025-12-06 23:37:12.278857,COD,Success,5550.4
6,6,2026-05-06 15:32:08.493520,Debit Card,Success,136480.13999999998
7,7,2026-04-08 10:39:39.566682,Debit Card,Success,43038.04
8,8,2026-05-14 00:31:53.176169,COD,Success,197479.41
9,9,2025-04-28 11:38:00.398209,UPI,Success,12164.83
10,10,2025-11-15 20:15:19.022838,COD,Success,188326.83000000002
11,11,2026-06-24 19:39:57.630353,UPI,Success,191618.88
12,12,2025-11-19 13:49:57.859418,COD,Pending,195403.15000000002
13,13,2025-07-11 21:01:21.923542,Net Banking,Success,97819.75
14,14,2025-06-08 06:05:49.780156,COD,Success,61993.82
15,15,2026-06-26 13:45:25.057712,COD,Success,51992.6
16,16,2025-04-11 09:38:11.979775,Net Banking,Success,267234.44
17,17,2026-03-06 02:34:51.637757,UPI,Pending,239563.09
18,18,2025-01-01 20:17:49.142001,Credit Card,Success,327644.19
19,19,2026-05-10 17:39:38.336358,COD,Success,288116.84
20,20,2025-09-05 00:52:51.173685,UPI,Success,115133.1
21,21,2025-07-13 03:22:17.694510,COD,Success,110260.14
22,22,2025-03-07 07:18:45.604642,COD,Success,268639.08
23,23,2026-06-16 13:52:32.470539,Credit Card,Success,177623.34
24,24,2025-08-21 20:43:20.000268,UPI,Success,200295.16999999998
25,25,2024-12-02 12:57:44.490347,UPI,Success,48958.49
26,26,2025-08-28 21:31:23.570587,Credit Card,Success,164321.22
27,27,2026-05-13 03:31:45.335596,Net Banking,Pending,86747.97
28,28,2025-08-22 19:09:32.236620,COD,Success,324031.64
29,29,2026-02-21 09:26:38.540657,Net Banking,Success,148800.93
30,30,2024-11-06 00:28:55.704730,Net Banking,Success,145200.59999999998
31,31,2025-10-24 15:12:33.101641,UPI,Success,45410.740000000005
32,32,2026-04-01 16:11:06.835578,Debit Card,Success,144727.65000000002
33,33,2026-05-28 18:25:27.910026,UPI,Success,30779.91
34,34,2026-04-10 17:27:06.416543,Net Banking,Success,226061.87999999998
35,35,2026-04-08 12:41:53.082460,COD,Success,98932.35
36,36,2026-05-21 03:03:25.627558,Credit Card,Success,12761.939999999999
37,37,2025-08-13 20:29:28.380096,Debit Card,Failed,256465.92000000004
38,38,2026-06-05 18:14:24.480083,Net Banking,Failed,3019.24
39,39,2026-05-27 01:28:54.275602,Debit Card,Success,80979.40000000001
40,40,2025-12-31 11:12:00.279445,Debit Card,Success,81880.19
41,41,2026-06-27 13:13:07.144188,COD,Success,159128.9
42,42,2026-02-16 00:57:14.291709,Credit Card,Success,89740.28
43,43,2025-08-02 09:52:58.860321,Debit Card,Success,62788.259999999995
44,44,2026-02-02 12:58:10.226990,Net Banking,Success,362202.92
45,45,2026-06-07 22:59:35.914869,UPI,Success,47919.92
46,46,2026-02-05 22:34:53.640834,Credit Card,Success,65350.93000000001
47,47,2025-11-21 12:34:30.256131,Debit Card,Success,307262.54
48,48,2025-07-03 21:57:27.814577,Net Banking,Success,420846.79000000004
49,49,2026-04-29 02:22:58.851156,COD,Success,260723.86000000002
50,50,2026-02-25 11:40:18.135678,Credit Card,Success,129306.22
51,51,2026-03-09 16:57:48.935580,UPI,Success,269434.2
52,52,2025-03-29 23:56:39.300693,COD,Success,104137.37000000001
53,53,2025-12-03 00:19:30.409297,Debit Card,Success,189293.15
54,54,2026-06-27 00:40:07.881185,Net Banking,Success,124084.01
55,55,2026-06-03 15:24:02.707636,Credit Card,Success,53996.89
56,56,2026-05-10 10:00:29.965636,UPI,Success,105325.07
57,57,2025-12-17 19:52:38.921952,UPI,Pending,56252.52
58,58,2024-08-30 03:10:40.251153,UPI,Pending,126950.42
59,59,2026-02-08 08:22:47.026771,Credit Card,Pending,21134.699999999997
60,60,2026-06-26 05:46:13.593074,Debit Card,Success,139019.62
61,61,2026-03-13 06:38:27.889126,COD,Success,144530.52
62,62,2024-12-21 06:06:32.566818,Net Banking,Success,291812.47
63,63,2025-09-30 10:23:13.199077,Debit Card,Success,224077.44
64,64,2026-03-30 08:22:12.468260,Net Banking,Success,122787.73999999999
65,65,2025-09-10 21:30:02.975734,UPI,Success,56353.56999999999
66,66,2026-06-22 03:32:06.621811,Net Banking,Success,120677.34
67,67,2026-03-06 13:25:43.442053,Debit Card,Success,193745.34000000003
68,68,2026-02-24 14:03:40.018208,Net Banking,Success,363066.75
69,69,2025-04-24 16:57:09.334693,Credit Card,Success,195800.07
70,70,2025-11-13 15:18:07.622243,Credit Card,Success,64636.89
71,71,2025-11-17 22:00:51.134850,COD,Success,187096.59000000003
72,72,2026-06-05 08:39:34.481293,COD,Success,98598.91
73,73,2025-04-27 15:28:02.997759,Debit Card,Success,93078.28
74,74,2026-01-21 12:53:20.385125,COD,Success,35441.91
75,75,2026-04-27 07:29:36.943181,Debit Card,Success,211768.6
76,76,2025-01-28 02:55:02.443110,Net Banking,Pending,24900.26
77,77,2026-01-27 12:31:55.647473,COD,Success,28783.12
78,78,2026-06-08 05:37:01.244980,COD,Success,35186.01
79,79,2026-01-17 19:15:51.588956,Credit Card,Success,368075.82999999996
80,80,2026-01-29 08:23:39.946797,COD,Success,65784.26999999999
81,81,2025-08-18 08:47:09.327066,COD,Success,196644.46000000002
82,82,2026-06-26 07:34:27.017181,Net Banking,Success,57724.86
83,83,2026-03-31 08:09:04.172743,Credit Card,Pending,22079.12
84,84,2026-05-23 06:02:15.573491,Debit Card,Success,244933.99
85,85,2026-04-15 09:28:11.539462,Net Banking,Success,311265.74
86,86,2026-04-05 14:25:06.346735,UPI,Success,24379.46
87,87,2026-03-02 21:39:00.678769,COD,Success,45777.729999999996
88,88,2026-04-08 02:15:24.930391,COD,Success,95575.81
89,89,2025-03-10 04:08:05.250375,COD,Pending,72091.31999999999
90,90,2026-05-22 17:28:10.906712,Credit Card,Success,184022.27
91,91,2025-06-06 22:26:35.942200,Net Banking,Success,65084.38
92,92,2026-01-29 20:35:24.471542,Credit Card,Success,233685.81
93,93,2025-12-01 19:20:36.429346,UPI,Success,250524.47999999998
94,94,2026-05-07 08:50:59.381031,UPI,Success,247477.56
95,95,2025-04-24 06:49:30.642849,Debit Card,Success,84091.07
96,96,2025-10-10 16:34:21.992574,UPI,Success,145181.83
97,97,2026-04-25 18:40:20.479377,UPI,Success,65452.38
98,98,2026-05-10 15:22:05.526610,UPI,Success,201594.0
99,99,2026-04-24 12:59:07.870245,COD,Success,182677.14
100,100,2024-09-07 22:09:48.987671,UPI,Success,257739.4
101,101,2025-06-03 04:55:32.339809,COD,Success,64557.06
102,102,2023-12-25 22:17:09.900646,Debit Card,Success,370112.22
103,103,2026-05-13 03:10:43.942148,Debit Card,Success,134979.21
104,104,2025-01-16 22:43:27.403625,Credit Card,Success,35966.43
105,105,2025-02-01 12:40:01.496836,Debit Card,Success,290596.42
106,106,2026-05-07 15:37:15.581051,Credit Card,Success,282086.33999999997
107,107,2025-07-31 13:24:36.937391,UPI,Success,99691.70999999999
108,108,2025-11-23 18:15:32.233875,COD,Success,189792.87
109,109,2025-09-15 09:45:56.689235,UPI,Pending,126491.06
110,110,2024-11-08 02:22:17.001120,COD,Success,152673.86
111,111,2026-05-28 12:44:48.700676,COD,Success,69440.02
112,112,2025-06-03 10:51:44.332575,Credit Card,Success,193023.96
113,113,2025-07-02 08:12:34.143525,Credit Card,Success,93932.97
114,114,2025-10-12 09:18:20.574275,Credit Card,Success,144459.4
115,115,2026-02-01 21:29:15.816163,Credit Card,Success,301905.06
116,116,2026-06-28 06:53:48.520957,UPI,Pending,6078.82
117,117,2026-03-18 19:13:04.219396,UPI,Pending,349438.21
118,118,2025-10-25 01:11:22.454664,UPI,Success,276899.79000000004
119,119,2025-10-15 04:59:23.890239,Debit Card,Success,84671.88
120,120,2026-04-22 03:22:27.688118,UPI,Success,62465.19
121,121,2026-04-10 17:09:58.150819,COD,Success,73103.36
122,122,2026-06-12 20:57:04.772032,UPI,Success,248327.8
123,123,2026-06-27 21:48:13.313379,UPI,Success,88278.85
124,124,2026-04-12 13:03:52.235198,Debit Card,Pending,96670.26999999999
125,125,2026-04-13 10:01:33.560802,Debit Card,Success,142729.51
126,126,2025-06-01 21:47:31.368243,Net Banking,Success,79838.95000000001
127,127,2023-09-13 22:24:55.992527,Debit Card,Success,54339.39
128,128,2025-10-09 18:09:33.418827,Net Banking,Success,190793.88
129,129,2026-03-31 18:57:33.317744,Credit Card,Success,215775.84999999998
130,130,2024-11-18 12:42:32.039718,COD,Success,73393.4
131,131,2026-02-28 01:52:37.699100,COD,Success,78935.46
132,132,2024-06-20 23:47:39.059772,Debit Card,Success,105832.87
133,133,2024-09-16 04:33:03.734789,Net Banking,Success,128698.09000000001
134,134,2025-03-20 09:09:07.876156,Net Banking,Success,111992.43
135,135,2026-06-24 14:04:02.782088,Net Banking,Failed,201608.72999999998
136,136,2026-03-13 08:55:13.218275,COD,Success,31310.99
137,137,2026-05-30 04:38:49.722180,COD,Success,264268.35
138,138,2026-01-03 16:42:36.758071,UPI,Success,220907.56
139,139,2026-03-03 11:35:53.477915,Debit Card,Success,61461.39
140,140,2025-05-13 20:42:57.674154,Debit Card,Success,124247.38
141,141,2025-11-12 16:40:07.159553,COD,Success,105665.14
142,142,2026-02-08 17:37:37.646603,Debit Card,Failed,135960.8
143,143,2025-12-25 00:07:24.027195,UPI,Success,55142.979999999996
144,144,2025-04-02 00:10:35.059327,Credit Card,Success,226411.31999999998
145,145,2026-05-11 08:44:20.130899,Credit Card,Success,180516.18
146,146,2024-09-13 00:32:10.619564,Debit Card,Success,96275.67
147,147,2025-01-23 18:37:06.270308,UPI,Success,121461.55
148,148,2026-04-01 18:13:20.457229,COD,Success,210187.69
149,149,2025-12-11 09:49:54.841129,Credit Card,Success,102603.54000000001
150,150,2024-10-23 16:29:59.897050,Debit Card,Success,35557.84
151,151,2026-06-07 03:33:06.978733,UPI,Success,256017.60000000003
152,152,2026-03-27 08:00:07.850245,UPI,Pending,55467.64
153,153,2026-02-10 13:40:33.537397,COD,Failed,152524.95
154,154,2025-08-20 14:31:22.669209,UPI,Success,36084.31
155,155,2025-04-05 23:42:18.619267,Net Banking,Success,141713.24
156,156,2025-04-24 22:42:04.518503,Net Banking,Success,93442.5
157,157,2026-04-01 19:44:43.985639,COD,Success,45394.72
158,158,2025-11-01 04:03:34.813558,Credit Card,Success,199119.03
159,159,2025-12-07 20:32:07.555056,Net Banking,Success,126654.15000000001
160,160,2026-01-29 17:08:13.599902,COD,Success,301515.49
161,161,2026-06-19 00:40:00.691275,Credit Card,Success,166155.59
162,162,2025-04-06 15:01:27.655732,UPI,Pending,14886.329999999998
163,163,2023-08-09 19:44:43.522610,Credit Card,Success,100163.43
164,164,2026-01-05 01:43:44.254956,COD,Success,70937.21
165,165,2026-06-18 06:55:55.245038,Debit Card,Failed,132268.32
166,166,2026-06-08 21:03:02.496418,COD,Success,20264.579999999998
167,167,2024-07-23 14:11:54.779535,Debit Card,Pending,102020.26
168,168,2026-04-30 22:48:45.086323,Credit Card,Success,261711.88
169,169,2025-04-20 00:17:08.602837,Credit Card,Pending,450165.94999999995
170,170,2026-05-11 23:54:34.757419,Net Banking,Success,229510.3
171,171,2026-05-01 21:34:20.402318,COD,Success,132358.48
172,172,2026-04-03 01:01:59.680378,UPI,Success,167848.81
173,173,2024-03-15 01:12:26.194706,Net Banking,Success,221505.41
174,174,2026-04-06 19:21:25.897637,Debit Card,Success,228505.27000000002
175,175,2025-06-23 06:59:48.517359,Debit Card,Success,48322.5
176,176,2026-06-25 03:26:31.762445,Net Banking,Success,121745.06
177,177,2026-06-19 01:09:27.062845,UPI,Success,223547.12000000002
178,178,2026-06-15 19:40:53.363255,Net Banking,Success,45996.43000000001
179,179,2026-04-21 02:41:05.314162,Net Banking,Success,146278.26
