order_id,customer_id,order_date,total_amount,order_status,delivery_city,delivery_state
1,3732,2026-05-20 00:35:19.978530,37431.91,Delivered,Phagwara,Karnataka
2,6216,2026-03-17 17:15:33.755311,86247.46,Cancelled,Kirari Suleman Nagar,Sikkim
3,6181,2025-10-16 23:38:17.374901,89387.25,Cancelled,Bhatpara,Punjab
4,1934,2026-05-09 07:01:48.628759,98675.76000000001,Processing,Kottayam,Gujarat
5,1508,2025-12-06 23:00:12.278857,5550.4,Processing,Burhanpur,Uttarakhand
6,751,2026-05-06 14:39:08.493520,136480.13999999998,Returned,Latur,Tamil Nadu
7,932,2026-04-08 10:20:39.566682,43038.04,Delivered,Ongole,Punjab
8,717,2026-05-14 00:05:53.176169,197479.41,Delivered,Bhilwara,Nagaland
9,7844,2025-04-28 11:03:00.398209,12164.83,Cancelled,Vasai-Virar,Telangana
10,3373,2025-11-15 19:56:19.022838,188326.83000000002,Shipped,Thanjavur,Mizoram
11,4002,2026-06-24 18:41:57.630353,191618.88,Processing,Noida,Andhra Pradesh
12,6732,2025-11-19 13:35:57.859418,195403.15000000002,Cancelled,Bidar,Arunachal Pradesh
13,2012,2025-07-11 20:53:21.923542,97819.75,Delivered,Jabalpur,Chhattisgarh
14,349,2025-06-08 05:40:49.780156,61993.82,Shipped,Purnia,Jharkhand
15,4922,2026-06-26 13:20:25.057712,51992.6,Returned,Jodhpur,Rajasthan
16,8116,2025-04-11 09:03:11.979775,267234.44,Delivered,Berhampur,Assam
17,857,2026-03-06 01:34:51.637757,239563.09,Cancelled,Farrukhabad,Meghalaya
18,4302,2025-01-01 19:25:49.142001,327644.19,Returned,Sambhal,Maharashtra
19,1790,2026-05-10 16:52:38.336358,288116.84,Processing,Rohtak,Tripura
20,9312,2025-09-05 00:00:51.173685,115133.1,Returned,Thiruvananthapuram,Tamil Nadu
21,4496,2025-07-13 02:56:17.694510,110260.14,Delivered,Danapur,Gujarat
22,633,2025-03-07 07:17:45.604642,268639.08,Processing,Firozabad,Uttarakhand
23,2037,2026-06-16 13:22:32.470539,177623.34,Delivered,Agartala,Andhra Pradesh
24,607,2025-08-21 19:45:20.000268,200295.16999999998,Delivered,Hubli–Dharwad,Maharashtra
25,10000,2024-12-02 12:01:44.490347,48958.49,Processing,Anantapuram,Goa
26,8109,2025-08-28 21:16:23.570587,164321.22,Delivered,Parbhani,Nagaland
27,1876,2026-05-13 02:53:45.335596,86747.97,Cancelled,Munger,Manipur
28,5200,2025-08-22 18:23:32.236620,324031.64,Delivered,Durgapur,Gujarat
29,733,2026-02-21 09:18:38.540657,148800.93,Processing,Rajahmundry,Telangana
30,8373,2024-11-06 00:23:55.704730,145200.59999999998,Delivered,Proddatur,Telangana
31,6988,2025-10-24 14:45:33.101641,45410.740000000005,Delivered,Parbhani,Gujarat
32,6140,2026-04-01 15:12:06.835578,144727.65000000002,Shipped,Bhilwara,Haryana
33,9687,2026-05-28 17:52:27.910026,30779.91,Delivered,Rajkot,Bihar
34,8327,2026-04-10 16:38:06.416543,226061.87999999998,Returned,Mira-Bhayandar,Chhattisgarh
35,1286,2026-04-08 11:54:53.082460,98932.35,Delivered,Begusarai,West Bengal
36,6850,2026-05-21 02:24:25.627558,12761.939999999999,Processing,Delhi,Sikkim
37,7739,2025-08-13 19:59:28.380096,256465.92000000004,Cancelled,Vadodara,Manipur
